Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
21-Feb-16,0.071,0.019,0.038,0.059,-0.063,0.09,0.24,0.02,-0.019,-0.0357,-0.007,-0.0313
14-Feb-16,0.064,0.002,-0.039,0.06,0.015,-0.065,-1.43,0.025,0,0.0536,0.0201,0.002
7-Feb-16,-0.037,0.143,0.158,0.036,-0.005,0.155,0.65,0.008,0,0.0101,0.0125,-0.0043
31-Jan-16,0.075,-0.003,0.114,0.033,0.09,0.07,3.68,0.007,0,-0.0004,-0.0101,-0.0036
24-Jan-16,0.121,0.151,0.059,0.151,0.098,0.035,4.16,0.006,-0.015,-0.0256,-0.0322,0.0014
17-Jan-16,-0.005,-0.048,-0.016,-0.012,-0.166,0.065,-2.28,0.014,0.001,0.0018,-0.004,-0.0082
10-Jan-16,0.005,0.108,0.069,0.036,0.147,0.085,-1.72,0.042,-0.003,-0.0007,0.012,-0.0134
3-Jan-16,0.037,0.189,0.107,0.126,0.094,0.185,0.39,-0.037,0.008,0.0262,0.0015,0.0084
27-Dec-15,0.013,-0.038,-0.061,-0.007,-0.014,-0.005,2.88,-0.032,0.03,0.0228,-0.0072,0.0345
20-Dec-15,-0.009,-0.09,-0.061,-0.077,0.022,-0.04,0.09,-0.003,-0.001,0.0185,0.0117,-0.0054
13-Dec-15,0.042,-0.019,0.092,-0.008,0.006,0.01,0.8,0.013,-0.011,-0.0039,-0.0109,-0.0072
6-Dec-15,0.016,0.115,0.093,0.147,0.173,0.015,-0.36,-0.02,0,0.0323,0.0122,0.0016
29-Nov-15,-0.03,-0.114,-0.107,-0.235,-0.012,-0.04,2.31,-0.039,0.002,-0.0105,-0.0104,0.0154
22-Nov-15,0.01,0.056,0.054,0.024,0.057,0.05,-0.33,0.001,-0.021,-0.0075,-0.0293,-0.0148
15-Nov-15,-0.004,0.106,0.061,0.083,0.024,0.01,0.07,-0.003,0.003,0.0155,0.0053,0.0047
8-Nov-15,0.01,0.063,-0.171,0.135,0.065,-0.215,-0.27,-0.002,-0.002,0.0041,0.0133,-0.011
1-Nov-15,-0.016,-0.114,-0.156,-0.174,-0.173,-0.07,0.52,-0.002,-0.002,-0.0183,-0.0038,-0.0083
25-Oct-15,0.003,-0.064,-0.022,-0.015,-0.035,0.01,-2.54,-0.023,0.025,0.0379,0.0264,0.0091
18-Oct-15,0.014,-0.062,-0.01,0.041,-0.04,-0.015,0.85,0.009,-0.002,-0.0115,0.0013,0.0076
11-Oct-15,0.007,0.061,0.085,0.072,0.053,0.145,-2.03,-0.025,0.006,0.0121,0.0328,0.0047
4-Oct-15,-0.001,-0.159,-0.077,-0.105,-0.116,-0.12,0.84,0.003,-0.012,-0.0131,0.0012,0.0073
27-Sep-15,0.001,0.143,0.101,0.135,0.122,0.005,-0.37,0.021,-0.025,-0.0122,-0.0147,-0.0287
20-Sep-15,0.012,0,0.073,0.014,-0.063,0.005,0.67,0.019,-0.006,0,-0.0016,-0.0024
13-Sep-15,0.013,-0.018,-0.042,-0.007,0.011,-0.055,-0.58,-0.011,0.001,0.035,0.011,0.0165
6-Sep-15,0.021,0.001,-0.093,0.006,-0.034,0.015,0.58,0.004,-0.008,-0.0102,0.0035,-0.0098
30-Aug-15,0.012,0.122,0.073,0.062,0.005,-0.035,-1.58,0.002,-0.003,-0.0259,-0.0193,-0.0184
23-Aug-15,-0.028,-0.252,-0.133,-0.154,-0.177,-0.045,2.72,-0.008,0.018,0.0222,0.0032,0.0266
16-Aug-15,0.022,0.181,0.198,0.085,0.125,0.115,0.31,-0.002,0.022,0.0304,0.021,0.0149
9-Aug-15,0.041,-0.031,0.052,0.001,0.028,0.055,2.28,-0.01,-0.015,-0.0051,-0.0283,0.0049
2-Aug-15,-0.009,0.034,-0.073,-0.01,0.021,-0.03,-0.09,0.004,0.008,-0.015,-0.0137,0.0048
