Date,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,au_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta,gbpjpy_w_delta,audnzd_w_delta
7/13/2007,-0.1210,-0.1290,-0.1540,-0.0600,-0.0440,-0.1640,-0.0300,0.0133,-0.0227,-0.0154,1.5000,-0.0127,0.4500,-0.0031
7/20/2007,0.0650,0.0690,0.0610,0.0000,0.0590,0.0610,0.0000,0.0011,-0.0219,-0.0049,0.6100,-0.0103,0.8700,-0.0013
7/27/2007,0.1730,0.1760,0.0730,0.0490,0.0600,0.1350,0.0200,-0.0008,0.0311,0.0200,3.0100,0.0282,1.8400,-0.0310
8/3/2007,0.1000,0.1110,0.0540,0.1010,0.1500,0.1620,0.0500,-0.0160,-0.0195,-0.0170,0.1700,-0.0061,1.7600,-0.0179
8/10/2007,0.0090,0.0070,0.0160,0.0110,0.0090,0.0630,0.0900,0.0075,0.0184,0.0141,-1.1900,0.0096,-0.4700,-0.0129
8/17/2007,-0.0460,-0.0570,-0.0430,0.0650,-0.0310,-0.0940,0.0300,0.0033,0.0407,0.0209,3.9400,0.0487,0.6100,0.0239
8/24/2007,0.1540,0.0660,0.0900,0.1300,0.1920,0.1490,-0.0300,-0.0058,-0.0332,-0.0198,-2.0500,-0.0284,-1.2900,0.0098
8/31/2007,0.0190,0.0310,0.0430,-0.0150,-0.0870,0.0520,0.1200,0.0093,-0.0033,0.0042,0.6500,0.0100,-0.2800,-0.0109
9/7/2007,0.0570,0.0170,-0.0300,-0.0150,0.0330,0.1000,-0.0100,-0.0036,-0.0121,-0.0143,2.4100,-0.0105,3.5000,-0.0283
9/14/2007,0.0920,0.1320,0.1420,0.0200,-0.0410,0.1460,-0.0700,0.0009,0.0205,-0.0095,-2.5100,-0.0151,0.1300,0.0057
9/21/2007,0.0860,-0.0510,-0.0450,0.0440,-0.0740,-0.0860,0.0600,0.0243,-0.0146,-0.0218,-0.2500,-0.0250,-3.0600,0.0261
9/28/2007,-0.2130,-0.1790,-0.0690,-0.1350,-0.2470,-0.1580,-0.1000,0.0296,-0.0253,-0.0173,0.5900,-0.0197,-0.6900,-0.0018
10/12/2007,0.0770,0.0270,0.0660,0.0000,-0.0340,0.0790,0.0500,0.0070,0.0060,-0.0026,-0.4300,-0.0044,-0.8400,0.0170
10/19/2007,-0.1270,-0.0700,-0.0590,-0.0050,-0.0150,-0.0610,0.0100,0.0085,-0.0163,-0.0128,2.9500,0.0161,1.2200,-0.0079
