Date,Open,High,Low,Close
1991-03-08,257.03,257.51,254.94,254.94
1991-03-15,255.55,255.55,251.13,251.13
1991-03-22,247.09,247.09,244.01,245.31
1991-03-29,244.13,245.86,242,245.86
1991-04-05,246.75,246.75,242.33,242.33
1991-04-12,242.73,243.25,241.96,242.19
1991-04-19,240.59,243.02,238.25,238.25
1991-04-26,235.94,235.98,232.91,232.91
1991-05-03,230.84,237.57,230.84,234.95
1991-05-10,235.97,238.67,235.97,238.67
1991-05-17,241.34,241.34,237.73,237.73
1991-05-24,237.6,239.58,237.6,239.58
1991-05-31,239.96,240.5,235.12,235.12
1991-06-07,235.98,236.13,234.64,234.64
1991-06-14,236.89,236.89,230.63,230.63
1991-06-21,229.19,229.19,226.39,226.61
1991-06-28,228.06,228.06,223.28,223.28
1991-07-05,223.35,224,222.22,223.59
1991-07-12,225.93,225.93,222.56,225.67
1991-07-19,225.67,230.82,225.52,230.82
1991-07-26,231.05,232.79,230.7,232.61
1991-08-02,231.32,231.77,230.33,231.77
1991-08-09,233.65,233.65,231.98,232.02
1991-08-16,231.83,231.83,228,228
1991-08-23,225.33,231.37,225.15,230.11
1991-08-30,230.09,230.87,230.04,230.04
1991-09-06,230,231.03,229.38,231.03
1991-09-13,233.39,233.39,231.97,231.97
1991-09-20,232.3,233.12,232.3,232.68
1991-09-27,232.05,232.05,231.1,231.67
1991-10-04,232.83,232.98,225.95,225.95
1991-10-11,224.48,224.48,223.01,223.07
1991-10-18,221.68,223.85,221.68,223.85
1991-10-25,224.69,224.86,224.47,224.81
1991-11-01,225.37,228.26,225.12,227.93
1991-11-08,229.51,230.88,229.51,230.43
1991-11-15,229.77,230.59,229.77,230.16
1991-11-22,231.71,233.16,231.71,232.79
1991-11-29,229.87,230.25,229.53,229.53
1991-12-06,230.84,231.75,229.35,231.75
1991-12-13,231.9,234.01,231.9,234.01
1991-12-20,233.85,237.25,233.85,237.25
1991-12-27,237.53,238.83,235.64,235.64
1992-01-03,234.6,234.6,230.53,230.53
1992-01-10,232.84,233.8,228.22,228.22
1992-01-17,228.66,228.66,225.42,226.36
1992-01-24,221.51,222.79,221.51,222.79
1992-01-31,222.79,226.5,222.79,224.87
1992-02-07,226.67,230.15,226.67,230.15
1992-02-14,231.34,231.34,226.25,226.25
1992-02-21,225.2,225.2,224.02,225.05
1992-02-28,225.77,227.38,225.77,226.98
1992-03-06,227.46,227.68,226.31,226.4
