Date,Open,High,Low,Close
2007-08-10,4.39,4.39,4.36,4.36
2007-08-17,4.35,4.39,4.35,4.38
2007-08-24,4.38,4.38,4.26,4.26
2007-08-31,4.27,4.3,4.26,4.28
2007-09-07,4.25,4.32,4.25,4.32
2007-09-14,4.33,4.37,4.27,4.27
2007-09-21,4.4,4.5,4.4,4.5
2007-09-28,4.49,4.49,4.44,4.44
2007-10-12,4.46,4.46,4.44,4.45
2007-10-19,4.42,4.44,4.42,4.44
2007-10-26,4.43,4.5,4.43,4.49
2007-11-02,4.48,4.52,4.48,4.52
2007-11-09,4.54,4.56,4.53,4.56
2007-11-16,4.58,4.59,4.57,4.59
2007-11-23,4.57,4.58,4.55,4.55
2007-11-30,4.57,4.57,4.54,4.54
2007-12-07,4.52,4.54,4.52,4.53
2007-12-14,4.52,4.52,4.49,4.51
2007-12-21,4.52,4.52,4.49,4.49
2007-12-28,4.5,4.5,4.46,4.46
2008-01-04,4.47,4.47,4.46,4.46
2008-01-11,4.46,4.47,4.45,4.45
2008-01-18,4.45,4.45,4.45,4.45
2008-01-25,4.45,4.45,4.36,4.36
2008-02-01,4.35,4.36,4.24,4.24
2008-02-08,4.14,4.16,4.14,4.16
2008-02-15,4.17,4.18,4.17,4.17
2008-02-22,4.18,4.22,4.18,4.21
2008-02-29,4.19,4.19,4.17,4.17
2008-03-07,4.17,4.19,4.16,4.17
2008-03-14,4.17,4.17,4.16,4.17
2008-03-21,4.16,4.16,4.16,4.16
2008-03-28,4.15,4.15,4.09,4.09
2008-04-04,4.12,4.13,4.08,4.08
2008-04-11,4.08,4.08,4.08,4.08
2008-04-18,4.08,4.08,4.06,4.07
2008-04-25,4.06,4.07,4.05,4.07
2008-05-02,4.08,4.09,4.07,4.09
2008-05-09,4.09,4.11,4.09,4.11
2008-05-16,4.12,4.15,4.12,4.15
2008-05-23,4.16,4.17,4.14,4.17
2008-05-30,4.16,4.18,4.16,4.18
2008-06-06,4.2,4.2,4.2,4.2
2008-06-13,4.21,4.32,4.21,4.32
2008-06-20,4.29,4.38,4.29,4.38
2008-06-27,4.42,4.54,4.41,4.54
2008-07-04,4.52,4.57,4.52,4.57
2008-07-11,4.58,4.61,4.55,4.55
2008-07-18,4.55,4.55,4.53,4.53
2008-07-25,4.54,4.54,4.49,4.49
2008-08-01,4.51,4.53,4.48,4.48
2008-08-08,4.49,4.54,4.48,4.54
2008-08-15,4.55,4.55,4.49,4.49
2008-08-22,4.48,4.48,4.44,4.44
2008-08-29,4.44,4.44,4.36,4.36
