Date,Open,High,Low,Close,
3/7/2008,6.156,6.254,6.029,6.104,0.052
3/14/2008,6.008,6.26,6,6.02,-0.012
3/21/2008,5.995,6.123,5.818,5.984,0.011
3/28/2008,5.97,6.173,5.97,6.155,-0.185
4/4/2008,6.09,6.22,5.977,6.178,-0.088
4/11/2008,6.03,6.24,6,6.142,-0.112
4/18/2008,6.08,6.262,5.982,6.21,-0.13
4/25/2008,6.228,6.339,6.203,6.339,-0.111
5/2/2008,6.378,6.378,6.153,6.233,0.145
5/9/2008,6.3,6.415,6.156,6.205,0.095
5/16/2008,6.205,6.351,6.163,6.322,-0.117
5/23/2008,6.311,6.523,6.26,6.513,-0.202
5/30/2008,6.442,6.64,6.433,6.53,-0.088
6/6/2008,6.597,6.643,6.438,6.637,-0.04
6/13/2008,6.595,6.735,6.58,6.729,-0.134
6/20/2008,6.704,6.813,6.518,6.662,0.042
6/27/2008,6.61,6.625,6.404,6.461,0.149
7/4/2008,6.416,6.605,6.415,6.423,-0.007
7/11/2008,6.401,6.401,6.253,6.364,0.037
7/18/2008,6.373,6.43,6.235,6.357,0.016
7/25/2008,6.402,6.477,6.218,6.26,0.142
8/1/2008,6.293,6.326,6.098,6.122,0.171
8/8/2008,6.078,6.113,5.903,5.925,0.153
8/15/2008,5.938,5.961,5.808,5.854,0.084
8/22/2008,5.81,5.855,5.732,5.792,0.018
8/29/2008,5.837,5.84,5.69,5.759,0.078
9/5/2008,5.757,5.775,5.603,5.624,0.133
9/12/2008,5.685,5.803,5.528,5.679,0.006
9/19/2008,5.669,5.669,5.44,5.566,0.103
9/26/2008,5.735,5.864,5.568,5.613,0.122
10/3/2008,5.599,5.723,5.252,5.285,0.314
10/10/2008,5.313,5.313,4.885,5.139,0.174
10/17/2008,5.145,5.628,5.145,5.352,-0.207
10/24/2008,5.363,5.363,4.901,4.913,0.45
10/31/2008,4.958,5.3,4.945,5.169,-0.211
11/7/2008,5.183,5.413,5.126,5.186,-0.003
11/14/2008,5.158,5.218,4.893,5.03,0.128
11/21/2008,4.986,5.013,4.518,4.628,0.358
11/28/2008,4.598,4.743,4.555,4.597,0.001
12/5/2008,4.443,4.628,4.165,4.282,0.161
12/12/2008,4.305,4.498,4.248,4.3,0.005
12/19/2008,4.555,4.555,3.987,4.025,0.53
12/26/2008,4.025,4.159,4.025,4.09,-0.065
1/2/2009,4.033,4.08,3.947,3.959,0.074
1/9/2009,4.03,4.348,4.03,4.12,-0.09
1/16/2009,4.068,4.111,3.84,3.975,0.093
1/23/2009,4.015,4.212,3.965,4.104,-0.089
1/30/2009,4.104,4.201,4.038,4.099,0.005
2/6/2009,4.127,4.484,4.023,4.443,-0.316
2/13/2009,4.493,4.493,4.166,4.242,0.251
2/20/2009,4.23,4.393,4.053,4.168,0.062
2/27/2009,4.038,4.408,4.031,4.403,-0.365
3/6/2009,4.425,4.438,4.188,4.239,0.186
3/13/2009,4.15,4.405,4.095,4.281,-0.131
3/20/2009,4.303,4.397,4.038,4.175,0.128
3/27/2009,4.222,4.589,4.192,4.564,-0.342
4/3/2009,4.564,4.564,4.172,4.428,0.136
4/10/2009,4.505,4.662,4.5,4.582,-0.077
4/17/2009,4.6,4.65,4.48,4.518,0.082
4/24/2009,4.607,4.635,4.325,4.511,0.096
5/1/2009,4.51,4.688,4.395,4.676,-0.166
5/8/2009,4.645,4.97,4.52,4.967,-0.322
5/15/2009,4.937,4.958,4.84,4.867,0.07
5/22/2009,4.775,5.232,4.775,5.207,-0.432
5/29/2009,5.243,5.53,5.196,5.279,-0.036
6/5/2009,5.247,5.592,5.247,5.588,-0.341
6/12/2009,5.617,5.646,5.525,5.549,0.068
6/19/2009,5.515,5.863,5.415,5.86,-0.345
6/26/2009,5.763,5.763,5.367,5.603,0.16
7/3/2009,5.51,5.585,5.295,5.429,0.081
7/10/2009,5.445,5.489,5.188,5.282,0.163
7/17/2009,5.208,5.573,5.203,5.451,-0.243
7/24/2009,5.485,5.71,5.485,5.697,-0.212
7/31/2009,5.683,5.765,5.577,5.605,0.078
8/7/2009,5.565,5.697,5.533,5.655,-0.09
8/14/2009,5.683,5.746,5.548,5.622,0.061
8/21/2009,5.583,5.583,5.395,5.435,0.148
8/28/2009,5.493,5.58,5.289,5.418,0.075
9/4/2009,5.408,5.498,5.269,5.433,-0.025
9/11/2009,5.436,5.518,5.26,5.273,0.163
9/18/2009,5.273,5.335,5.233,5.281,-0.008
9/25/2009,5.325,5.386,5.21,5.234,0.091
10/2/2009,5.17,5.368,5.101,5.105,0.065
10/9/2009,5.403,5.403,5.113,5.222,0.181
10/16/2009,5.298,5.61,5.298,5.577,-0.279
10/23/2009,5.69,5.805,5.53,5.701,-0.011
10/30/2009,5.74,5.766,5.469,5.543,0.197
11/6/2009,5.483,5.645,5.427,5.617,-0.134
11/13/2009,5.618,5.682,5.538,5.556,0.062
11/20/2009,5.565,5.585,5.368,5.393,0.172
11/27/2009,5.413,5.413,5.124,5.211,0.202
12/4/2009,5.245,5.408,5.141,5.376,-0.131
12/11/2009,5.453,5.543,5.407,5.511,-0.058
12/18/2009,5.52,5.605,5.337,5.35,0.17
12/25/2009,5.385,5.585,5.363,5.575,-0.19
1/1/2010,5.625,5.773,5.624,5.643,-0.018
1/8/2010,5.713,5.763,5.593,5.681,0.032
1/15/2010,5.658,5.701,5.488,5.585,0.073
1/22/2010,5.538,5.65,5.417,5.431,0.107
1/29/2010,5.423,5.485,5.375,5.379,0.044
2/5/2010,5.37,5.573,5.34,5.39,-0.02
2/12/2010,5.36,5.645,5.339,5.509,-0.149
2/19/2010,5.48,5.6,5.45,5.565,-0.085
2/26/2010,5.583,5.613,5.423,5.435,0.148
3/5/2010,5.415,5.495,5.375,5.465,-0.05
3/12/2010,5.525,5.698,5.525,5.675,-0.15
3/19/2010,5.635,5.715,5.585,5.67,-0.035
3/26/2010,5.66,5.808,5.65,5.738,-0.078
4/2/2010,5.735,5.81,5.715,5.783,-0.048
4/9/2010,5.783,5.867,5.774,5.813,-0.03
4/16/2010,5.795,5.883,5.758,5.817,-0.022
4/23/2010,5.78,5.874,5.735,5.798,-0.018
4/30/2010,5.84,5.84,5.68,5.711,0.129
5/7/2010,5.7,5.79,5.348,5.466,0.234
5/14/2010,5.493,5.627,5.462,5.507,-0.014
5/21/2010,5.455,5.508,5.285,5.392,0.063
5/28/2010,5.388,5.443,5.252,5.418,-0.03
6/4/2010,5.358,5.443,5.292,5.42,-0.062
6/11/2010,5.29,5.413,5.27,5.4,-0.11
6/18/2010,5.4,5.44,5.32,5.362,0.038
6/25/2010,5.398,5.448,5.236,5.251,0.147
7/2/2010,5.248,5.263,5.036,5.097,0.151
7/9/2010,5.1,5.145,5.01,5.107,-0.007
7/16/2010,5.107,5.178,5.098,5.119,-0.012
7/23/2010,5.119,5.22,5.098,5.203,-0.084
7/30/2010,5.203,5.27,5.18,5.2,0.003
8/6/2010,5.18,5.235,5.11,5.154,0.026
8/13/2010,5.09,5.125,4.98,5.049,0.041
8/20/2010,4.985,4.99,4.853,4.913,0.072
8/27/2010,4.95,4.985,4.773,4.807,0.143
9/3/2010,4.88,4.885,4.74,4.841,0.039
9/10/2010,4.92,4.998,4.845,4.977,-0.057
9/17/2010,5.038,5.128,4.977,5.115,-0.077
9/24/2010,5.105,5.185,5.045,5.051,0.054
10/1/2010,5.108,5.148,4.956,5.067,0.041
10/8/2010,5.08,5.108,4.97,5.006,0.074
10/15/2010,5.002,5.1,4.981,5.079,-0.077
10/22/2010,5.14,5.17,5.09,5.145,-0.005
10/29/2010,5.14,5.24,5.14,5.203,-0.063
11/5/2010,5.165,5.276,5.165,5.249,-0.084
11/12/2010,5.285,5.379,5.265,5.342,-0.057
11/19/2010,5.38,5.53,5.38,5.484,-0.104
11/26/2010,5.505,5.528,5.407,5.488,0.017
12/3/2010,5.445,5.495,5.345,5.467,-0.022
12/10/2010,5.485,5.644,5.383,5.581,-0.096
12/17/2010,5.633,5.697,5.542,5.574,0.059
12/24/2010,5.527,5.679,5.499,5.679,-0.152
