Date,Close,Open,High,Low,delta
30-Nov-14,3.684,3.684,3.684,3.684,-0.138
23-Nov-14,3.546,3.546,3.546,3.546,0.125
16-Nov-14,3.671,3.671,3.671,3.671,-0.052
9-Nov-14,3.619,3.619,3.619,3.619,0.016
2-Nov-14,3.635,3.635,3.635,3.635,0.151
26-Oct-14,3.786,3.786,3.786,3.786,0.032
19-Oct-14,3.818,3.818,3.818,3.818,0.024
12-Oct-14,3.842,3.842,3.842,3.842,0.205
5-Oct-14,4.047,4.047,4.047,4.047,-0.019
28-Sep-14,4.028,4.028,4.028,4.028,0
21-Sep-14,4.028,4.028,4.028,4.028,0.104
14-Sep-14,4.132,4.132,4.132,4.132,0.166
7-Sep-14,4.298,4.298,4.298,4.298,-0.013
31-Aug-14,4.285,4.285,4.285,4.285,-0.037
24-Aug-14,4.248,4.248,4.248,4.248,0.02
17-Aug-14,4.268,4.268,4.268,4.268,-0.041
10-Aug-14,4.227,4.227,4.227,4.227,0.052
3-Aug-14,4.279,4.279,4.279,4.279,0.011
27-Jul-14,4.29,4.29,4.29,4.29,0.016
20-Jul-14,4.306,4.306,4.306,4.306,-0.046
13-Jul-14,4.26,4.26,4.26,4.26,-0.12
6-Jul-14,4.14,4.14,4.14,4.14,0
29-Jun-14,4.14,4.14,4.14,4.14,-0.06
22-Jun-14,4.08,4.08,4.08,4.08,-0.01
15-Jun-14,4.07,4.07,4.07,4.07,0.01
8-Jun-14,4.08,4.08,4.08,4.08,0.02
1-Jun-14,4.1,4.1,4.1,4.1,0.06
25-May-14,4.16,4.16,4.16,4.16,-0.03
18-May-14,4.13,4.13,4.13,4.13,0.07
11-May-14,4.2,4.2,4.2,4.2,0.15
4-May-14,4.35,4.35,4.35,4.35,-0.02
27-Apr-14,4.33,4.33,4.33,4.33,0.03
20-Apr-14,4.36,4.36,4.36,4.36,0.06
13-Apr-14,4.42,4.42,4.42,4.42,0.13
6-Apr-14,4.55,4.55,4.55,4.55,0
30-Mar-14,4.55,4.55,4.55,4.55,-0.03
23-Mar-14,4.52,4.52,4.52,4.52,-0.04
16-Mar-14,4.48,4.48,4.48,4.48,0
9-Mar-14,4.48,4.48,4.48,4.48,0.03
2-Mar-14,4.51,4.51,4.51,4.51,-0.09
23-Feb-14,4.42,4.42,4.42,4.42,0.12
16-Feb-14,4.54,4.54,4.54,4.54,-0.04
9-Feb-14,4.5,4.5,4.5,4.5,0.05
2-Feb-14,4.55,4.55,4.55,4.55,0
26-Jan-14,4.55,4.55,4.55,4.55,0
19-Jan-14,4.55,4.55,4.55,4.55,0
12-Jan-14,4.55,4.55,4.55,4.55,0.05
5-Jan-14,4.6,4.6,4.6,4.6,-0.03
29-Dec-13,4.57,4.57,4.57,4.57,0.06
22-Dec-13,4.63,4.63,4.63,4.63,0
15-Dec-13,4.63,4.63,4.63,4.63,0.01
8-Dec-13,4.64,4.64,4.64,4.64,-0.18
1-Dec-13,4.46,4.46,4.46,4.46,-0.063
24-Nov-13,4.397,4.397,4.397,4.397,0.313
17-Nov-13,4.71,4.71,4.71,4.71,-0.28
10-Nov-13,4.43,4.43,4.43,4.43,-0.16
3-Nov-13,4.27,4.27,4.27,4.27,-0.22
27-Oct-13,4.05,4.05,4.05,4.05,0.11
20-Oct-13,4.16,4.16,4.16,4.16,-0.06
13-Oct-13,4.1,4.1,4.1,4.1,-0.05
6-Oct-13,4.05,4.05,4.05,4.05,0
29-Sep-13,4.05,4.05,4.05,4.05,0
22-Sep-13,4.05,4.05,4.05,4.05,0
15-Sep-13,4.05,4.05,4.05,4.05,0.09
8-Sep-13,4.14,4.14,4.14,4.14,-0.06
1-Sep-13,4.08,4.08,4.08,4.08,-0.03
25-Aug-13,4.05,4.05,4.05,4.05,0
18-Aug-13,4.05,4.05,4.05,4.05,-0.1
11-Aug-13,3.95,3.95,3.95,3.95,-0.11
4-Aug-13,3.84,3.84,3.84,3.84,-0.24
28-Jul-13,3.6,3.6,3.6,3.6,0.12
21-Jul-13,3.72,3.72,3.72,3.72,0
14-Jul-13,3.72,3.72,3.72,3.72,-0.11
7-Jul-13,3.61,3.61,3.61,3.61,0
30-Jun-13,3.61,3.61,3.61,3.61,-0.01
23-Jun-13,3.6,3.6,3.6,3.6,0.02
16-Jun-13,3.62,3.62,3.62,3.62,-0.13
9-Jun-13,3.49,3.49,3.49,3.49,0.01
2-Jun-13,3.5,3.5,3.5,3.5,-0.055
26-May-13,3.445,3.445,3.445,3.445,0.035
19-May-13,3.48,3.48,3.48,3.48,-0.05
12-May-13,3.43,3.43,3.43,3.43,0.05
5-May-13,3.48,3.48,3.48,3.48,-0.027
28-Apr-13,3.453,3.453,3.453,3.453,0.047
21-Apr-13,3.5,3.5,3.5,3.5,-0.145
14-Apr-13,3.355,3.355,3.355,3.355,0.15
7-Apr-13,3.505,3.505,3.505,3.505,0.015
31-Mar-13,3.52,3.52,3.52,3.52,-0.076
24-Mar-13,3.444,3.444,3.444,3.444,-0.055
17-Mar-13,3.389,3.389,3.389,3.389,0.241
10-Mar-13,3.63,3.63,3.63,3.63,0.017
3-Mar-13,3.647,3.647,3.647,3.647,0.023
24-Feb-13,3.67,3.67,3.67,3.67,-0.092
17-Feb-13,3.578,3.578,3.578,3.578,0.007
3-Feb-13,3.585,3.585,3.585,3.585,0.005
27-Jan-13,3.59,3.59,3.59,3.59,0
20-Jan-13,3.59,3.59,3.59,3.59,-0.02
13-Jan-13,3.57,3.57,3.57,3.57,0.03
6-Jan-13,3.6,3.6,3.6,3.6,0.01
30-Dec-12,3.61,3.61,3.61,3.61,-0.08
23-Dec-12,3.53,3.53,3.53,3.53,0.09
16-Dec-12,3.62,3.62,3.62,3.62,-0.12
9-Dec-12,3.5,3.5,3.5,3.5,0.1
2-Dec-12,3.6,3.6,3.6,3.6,-0.03
25-Nov-12,3.57,3.57,3.57,3.57,-0.06
18-Nov-12,3.51,3.51,3.51,3.51,0.09
11-Nov-12,3.6,3.6,3.6,3.6,-0.035
4-Nov-12,3.565,3.565,3.565,3.565,0.055
28-Oct-12,3.62,3.62,3.62,3.62,-0.04
21-Oct-12,3.58,3.58,3.58,3.58,-0.08
14-Oct-12,3.5,3.5,3.5,3.5,0
7-Oct-12,3.5,3.5,3.5,3.5,-0.03
30-Sep-12,3.47,3.47,3.62,3.34,0.03
23-Sep-12,3.5,3.5,3.5,3.5,0.02
16-Sep-12,3.52,3.52,3.52,3.52,0.06
9-Sep-12,3.58,3.58,3.58,3.58,-0.23
2-Sep-12,3.35,3.35,3.35,3.35,0.1
26-Aug-12,3.45,3.45,3.45,3.45,-0.1
19-Aug-12,3.35,3.35,3.35,3.35,0.03
12-Aug-12,3.38,3.38,3.38,3.38,-0.05
5-Aug-12,3.33,3.33,3.33,3.33,-0.04
29-Jul-12,3.29,3.29,3.29,3.29,-0.01
22-Jul-12,3.28,3.28,3.28,3.28,0
15-Jul-12,3.28,3.28,3.28,3.28,0
8-Jul-12,3.28,3.28,3.28,3.28,0.05
1-Jul-12,3.33,3.33,3.33,3.33,0.04
24-Jun-12,3.37,3.37,3.37,3.37,0.13
17-Jun-12,3.5,3.5,3.5,3.5,-0.1
10-Jun-12,3.4,3.4,3.4,3.4,-0.08
3-Jun-12,3.32,3.32,3.32,3.32,0.024
27-May-12,3.344,3.344,3.344,3.344,0.096
20-May-12,3.44,3.44,3.44,3.44,-0.01
13-May-12,3.43,3.43,3.43,3.43,0.09
6-May-12,3.52,3.52,3.52,3.52,0.01
29-Apr-12,3.53,3.53,3.53,3.53,0.02
22-Apr-12,3.55,3.55,3.55,3.55,-0.03
15-Apr-12,3.52,3.52,3.52,3.52,0.03
8-Apr-12,3.55,3.55,3.55,3.55,0
1-Apr-12,3.55,3.55,3.55,3.55,0
25-Mar-12,3.55,3.55,3.55,3.55,0
18-Mar-12,3.55,3.55,3.55,3.55,-0.03
11-Mar-12,3.52,3.52,3.52,3.52,0.012
4-Mar-12,3.532,3.532,3.532,3.532,0.018
26-Feb-12,3.55,3.55,3.55,3.55,-0.05
19-Feb-12,3.5,3.5,3.5,3.5,0.018
12-Feb-12,3.518,3.518,3.518,3.518,-0.018
5-Feb-12,3.5,3.5,3.5,3.5,-0.05
29-Jan-12,3.45,3.45,3.45,3.45,-0.05
22-Jan-12,3.4,3.4,3.51,3.38,0.1
15-Jan-12,3.5,3.5,3.5,3.5,-0.1
8-Jan-12,3.4,3.4,3.4,3.4,0.114
1-Jan-12,3.514,3.514,3.514,3.514,0.006
25-Dec-11,3.52,3.52,3.52,3.52,0
18-Dec-11,3.52,3.52,3.52,3.52,-0.02
11-Dec-11,3.5,3.5,3.5,3.5,0.05
4-Dec-11,3.55,3.55,3.55,3.55,-0.04
27-Nov-11,3.51,3.51,3.51,3.51,0.05
20-Nov-11,3.56,3.56,3.56,3.56,0.04
13-Nov-11,3.6,3.6,3.6,3.6,0.02
6-Nov-11,3.62,3.62,3.62,3.62,0.13
30-Oct-11,3.75,3.75,3.75,3.75,0.05
23-Oct-11,3.8,3.8,3.8,3.8,-0.05
