Date,Close,Open,High,Low,delta
31-Jan-16,1.564,1.561,1.635,1.488,-0.003
24-Jan-16,1.561,1.701,1.72,1.559,0.151
17-Jan-16,1.712,1.674,1.76,1.604,-0.048
10-Jan-16,1.664,1.778,1.814,1.627,0.108
3-Jan-16,1.772,1.92,1.921,1.732,0.189
27-Dec-15,1.961,1.88,1.998,1.871,-0.038
20-Dec-15,1.923,1.848,1.949,1.807,-0.09
13-Dec-15,1.833,1.844,1.957,1.799,-0.019
6-Dec-15,1.814,1.918,1.929,1.794,0.115
29-Nov-15,1.929,1.822,1.982,1.723,-0.114
22-Nov-15,1.815,1.898,1.924,1.801,0.056
15-Nov-15,1.871,1.957,1.997,1.862,0.106
8-Nov-15,1.977,2.039,2.089,1.964,0.063
1-Nov-15,2.04,1.927,2.053,1.921,-0.114
25-Oct-15,1.926,1.851,1.949,1.759,-0.064
18-Oct-15,1.862,1.819,1.878,1.785,-0.062
11-Oct-15,1.8,1.863,1.869,1.742,0.061
4-Oct-15,1.861,1.73,1.875,1.713,-0.159
27-Sep-15,1.702,1.828,1.834,1.646,0.143
20-Sep-15,1.845,1.843,1.895,1.73,0
13-Sep-15,1.845,1.835,1.983,1.819,-0.018
6-Sep-15,1.827,1.832,1.906,1.805,0.001
30-Aug-15,1.828,1.96,1.989,1.823,0.122
23-Aug-15,1.95,1.777,2.007,1.717,-0.252
16-Aug-15,1.698,1.874,1.901,1.696,0.181
9-Aug-15,1.879,1.858,1.931,1.739,-0.031
2-Aug-15,1.848,1.899,2,1.838,0.034
26-Jul-15,1.882,1.927,2.009,1.877,0.065
19-Jul-15,1.947,2.096,2.121,1.929,0.132
12-Jul-15,2.079,2.144,2.17,2.053,-0.005
5-Jul-15,2.074,1.96,2.097,1.782,-0.075
28-Jun-15,1.999,2.048,2.178,1.989,0.19
21-Jun-15,2.189,2.077,2.213,2.024,-0.177
14-Jun-15,2.012,1.966,2.073,1.952,-0.017
7-Jun-15,1.995,2.079,2.164,1.957,0.082
31-May-15,2.077,1.831,2.179,1.808,-0.273
24-May-15,1.804,1.906,1.922,1.792,0.115
17-May-15,1.919,1.873,2.012,1.87,-0.019
10-May-15,1.9,1.909,2.05,1.888,-0.023
3-May-15,1.877,1.899,2.07,1.789,-0.027
26-Apr-15,1.85,1.641,1.884,1.638,-0.199
19-Apr-15,1.651,1.579,1.724,1.547,-0.063
12-Apr-15,1.588,1.585,1.642,1.501,-0.003
5-Apr-15,1.585,1.575,1.627,1.52,0.001
29-Mar-15,1.586,1.551,1.624,1.512,-0.045
22-Mar-15,1.541,1.515,1.64,1.444,-0.021
15-Mar-15,1.52,1.693,1.705,1.506,0.185
8-Mar-15,1.705,1.944,1.948,1.691,0.243
1-Mar-15,1.948,1.782,1.964,1.737,-0.159
22-Feb-15,1.789,1.814,1.834,1.671,-0.011
15-Feb-15,1.778,1.696,1.86,1.663,-0.1
8-Feb-15,1.678,1.636,1.751,1.578,-0.031
1-Feb-15,1.647,1.344,1.651,1.34,-0.306
25-Jan-15,1.341,1.487,1.524,1.337,0.137
18-Jan-15,1.478,1.543,1.598,1.443,0.061
11-Jan-15,1.539,1.607,1.619,1.461,0.049
4-Jan-15,1.588,1.723,1.766,1.546,0.131
28-Dec-14,1.719,1.857,1.87,1.717,0.163
21-Dec-14,1.882,1.844,1.894,1.801,-0.031
14-Dec-14,1.851,1.815,1.925,1.694,-0.042
7-Dec-14,1.809,2.029,2.05,1.797,0.209
30-Nov-14,2.018,1.906,2.03,1.862,-0.091
23-Nov-14,1.927,2.044,2.068,1.901,0.122
16-Nov-14,2.049,2.087,2.16,2.044,0.09
9-Nov-14,2.139,2.199,2.254,2.125,0.074
2-Nov-14,2.213,2.223,2.291,2.207,0.037
26-Oct-14,2.25,2.251,2.273,2.197,-0.02
19-Oct-14,2.23,2.181,2.239,2.118,-0.03
12-Oct-14,2.2,2.195,2.211,1.937,0.025
5-Oct-14,2.225,2.365,2.378,2.191,0.17
28-Sep-14,2.395,2.47,2.476,2.34,0.065
21-Sep-14,2.46,2.516,2.534,2.42,0.085
14-Sep-14,2.545,2.533,2.603,2.506,-0.007
7-Sep-14,2.538,2.491,2.555,2.449,-0.071
31-Aug-14,2.467,2.368,2.509,2.368,-0.098
24-Aug-14,2.369,2.477,2.487,2.343,0.038
17-Aug-14,2.407,2.389,2.465,2.353,-0.055
10-Aug-14,2.352,2.477,2.529,2.34,0.108
3-Aug-14,2.46,2.553,2.596,2.405,0.103
27-Jul-14,2.563,2.582,2.652,2.531,0.002
20-Jul-14,2.565,2.58,2.615,2.543,0.017
13-Jul-14,2.582,2.601,2.667,2.553,0.02
6-Jul-14,2.602,2.767,2.775,2.578,0.156
29-Jun-14,2.758,2.645,2.786,2.635,-0.114
22-Jun-14,2.644,2.767,2.769,2.62,0.127
15-Jun-14,2.771,2.741,2.791,2.684,-0.022
8-Jun-14,2.749,2.678,2.796,2.677,-0.089
1-Jun-14,2.66,2.585,2.727,2.565,-0.093
25-May-14,2.567,2.649,2.655,2.522,0.07
18-May-14,2.637,2.561,2.669,2.549,-0.07
11-May-14,2.567,2.721,2.745,2.522,0.123
4-May-14,2.69,2.645,2.691,2.638,-0.045
27-Apr-14,2.645,2.661,2.724,2.629,-0.007
20-Apr-14,2.638,2.678,2.726,2.631,0.035
13-Apr-14,2.673,2.615,2.674,2.601,-0.061
6-Apr-14,2.612,2.684,2.716,2.594,0.075
30-Mar-14,2.687,2.731,2.789,2.686,0.04
23-Mar-14,2.727,2.765,2.778,2.663,0.021
16-Mar-14,2.748,2.665,2.794,2.66,-0.084
9-Mar-14,2.664,2.775,2.819,2.642,0.129
2-Mar-14,2.793,2.666,2.828,2.638,-0.07
23-Feb-14,2.723,2.778,2.792,2.646,0.066
16-Feb-14,2.789,2.808,2.82,2.702,0.011
9-Feb-14,2.8,2.706,2.829,2.705,-0.085
2-Feb-14,2.715,2.718,2.761,2.64,-0.004
26-Jan-14,2.711,2.791,2.839,2.689,0.067
19-Jan-14,2.778,2.83,2.905,2.735,0.056
12-Jan-14,2.834,2.869,2.88,2.796,0.046
5-Jan-14,2.88,3.01,3.017,2.866,0.149
29-Dec-13,3.029,3.074,3.092,3.019,0.043
22-Dec-13,3.072,2.961,3.083,2.944,-0.132
15-Dec-13,2.94,2.888,2.998,2.856,-0.041
8-Dec-13,2.899,2.902,2.924,2.865,-0.007
1-Dec-13,2.892,2.795,2.964,2.795,-0.122
24-Nov-13,2.77,2.799,2.803,2.725,0.024
17-Nov-13,2.794,2.739,2.87,2.704,-0.043
10-Nov-13,2.751,2.754,2.859,2.745,0.017
3-Nov-13,2.768,2.644,2.792,2.626,-0.114
27-Oct-13,2.654,2.634,2.666,2.526,-0.035
20-Oct-13,2.619,2.731,2.748,2.593,0.104
13-Oct-13,2.723,2.727,2.853,2.682,0.012
6-Oct-13,2.735,2.711,2.764,2.649,-0.003
29-Sep-13,2.732,2.682,2.76,2.679,-0.019
22-Sep-13,2.713,2.941,2.972,2.704,0.215
15-Sep-13,2.928,2.872,3.023,2.835,-0.016
8-Sep-13,2.912,2.953,3.051,2.901,0.023
1-Sep-13,2.935,2.822,3.019,2.819,-0.158
25-Aug-13,2.777,2.732,2.843,2.579,-0.066
18-Aug-13,2.711,2.73,2.762,2.668,-0.015
11-Aug-13,2.696,2.472,2.713,2.441,-0.233
4-Aug-13,2.463,2.404,2.557,2.388,-0.033
28-Jul-13,2.43,2.331,2.492,2.284,-0.095
21-Jul-13,2.335,2.271,2.435,2.261,-0.048
14-Jul-13,2.287,2.329,2.354,2.245,0.035
7-Jul-13,2.322,2.48,2.513,2.291,0.171
30-Jun-13,2.493,2.444,2.511,2.299,-0.055
23-Jun-13,2.438,2.488,2.597,2.374,-0.015
16-Jun-13,2.423,2.097,2.424,2.064,-0.36
9-Jun-13,2.063,2.057,2.241,2.055,0.006
2-Jun-13,2.069,2.012,2.075,1.97,-0.062
26-May-13,2.007,1.948,2.036,1.909,-0.116
19-May-13,1.891,1.916,1.938,1.838,-0.013
12-May-13,1.878,1.888,1.947,1.834,0.014
5-May-13,1.892,1.731,1.897,1.721,-0.16
28-Apr-13,1.732,1.693,1.74,1.61,-0.047
21-Apr-13,1.685,1.697,1.745,1.625,-0.019
14-Apr-13,1.666,1.74,1.76,1.659,0.065
7-Apr-13,1.731,1.643,1.795,1.643,-0.098
31-Mar-13,1.633,1.749,1.821,1.626,0.129
24-Mar-13,1.762,1.872,1.887,1.709,0.088
17-Mar-13,1.85,1.886,1.936,1.827,0.088
10-Mar-13,1.938,2.037,2.044,1.929,0.123
3-Mar-13,2.061,1.873,2.074,1.862,-0.18
24-Feb-13,1.881,2.15,2.175,1.868,0.228
17-Feb-13,2.109,2.175,2.231,2.098,0.086
10-Feb-13,2.195,2.078,2.271,2.078,-0.101
3-Feb-13,2.094,2.128,2.171,2.07,-0.009
27-Jan-13,2.085,2.075,2.134,2.056,-0.029
20-Jan-13,2.056,2.019,2.074,1.937,-0.039
13-Jan-13,2.017,2.056,2.073,1.979,0.065
6-Jan-13,2.082,2.102,2.123,2,0.046
30-Dec-12,2.128,1.825,2.139,1.807,-0.311
23-Dec-12,1.817,1.906,1.917,1.765,0.073
16-Dec-12,1.89,1.881,1.99,1.877,-0.025
9-Dec-12,1.865,1.728,1.889,1.72,-0.119
2-Dec-12,1.746,1.768,1.879,1.732,0.027
25-Nov-12,1.773,1.834,1.886,1.745,0.072
18-Nov-12,1.845,1.748,1.871,1.74,-0.127
11-Nov-12,1.718,1.723,1.786,1.687,0.012
4-Nov-12,1.73,1.855,1.855,1.672,0.133
28-Oct-12,1.863,1.837,1.91,1.79,0.01
21-Oct-12,1.873,1.895,1.953,1.818,0.017
14-Oct-12,1.89,1.742,1.955,1.73,-0.162
7-Oct-12,1.728,1.746,1.803,1.719,0.051
30-Sep-12,1.779,1.729,1.784,1.68,-0.064
23-Sep-12,1.715,1.824,1.849,1.682,0.123
16-Sep-12,1.838,1.971,1.987,1.783,0.128
9-Sep-12,1.966,1.68,1.975,1.68,-0.279
2-Sep-12,1.687,1.615,1.799,1.611,-0.213
26-Aug-12,1.474,1.512,1.52,1.437,0.065
19-Aug-12,1.539,1.722,1.732,1.512,0.128
12-Aug-12,1.667,1.529,1.706,1.511,-0.129
5-Aug-12,1.538,1.538,1.63,1.468,0.012
29-Jul-12,1.55,1.532,1.578,1.437,-0.015
22-Jul-12,1.535,1.467,1.552,1.408,-0.051
15-Jul-12,1.484,1.524,1.551,1.454,0.063
8-Jul-12,1.547,1.595,1.609,1.507,0.051
1-Jul-12,1.598,1.707,1.773,1.597,0.133
24-Jun-12,1.731,1.682,1.823,1.617,-0.009
17-Jun-12,1.722,1.708,1.78,1.608,-0.057
10-Jun-12,1.665,1.694,1.786,1.624,-0.025
3-Jun-12,1.64,1.612,1.765,1.589,-0.114
27-May-12,1.526,1.782,1.798,1.439,0.233
20-May-12,1.759,1.836,1.898,1.738,0.068
13-May-12,1.827,1.924,1.93,1.809,0.135
6-May-12,1.962,1.972,2.019,1.883,0.042
29-Apr-12,2.004,2.132,2.155,1.991,0.122
22-Apr-12,2.126,2.156,2.162,2.063,0.046
15-Apr-12,2.172,2.027,2.21,2.018,-0.135
8-Apr-12,2.037,2.088,2.115,2.009,0.12
1-Apr-12,2.157,2.245,2.279,2.128,0.045
25-Mar-12,2.202,2.288,2.334,2.171,0.075
18-Mar-12,2.277,2.439,2.453,2.238,0.168
11-Mar-12,2.445,2.148,2.488,2.085,-0.292
4-Mar-12,2.153,2.109,2.186,2.099,-0.013
26-Feb-12,2.14,2.08,2.238,1.985,-0.065
19-Feb-12,2.075,2.2,2.254,2.062,0.113
12-Feb-12,2.188,2.106,2.214,2.051,-0.06
5-Feb-12,2.128,2.181,2.252,2.117,0.062
29-Jan-12,2.19,2.041,2.202,1.965,-0.125
22-Jan-12,2.065,2.152,2.225,2.03,0.044
15-Jan-12,2.109,2.036,2.136,1.918,-0.135
8-Jan-12,1.974,2.038,2.098,1.953,0.052
1-Jan-12,2.026,1.971,2.108,1.966,-0.049
25-Dec-11,1.977,2.027,2.053,1.922,0.061
18-Dec-11,2.038,2.07,2.145,1.997,0.019
11-Dec-11,2.057,2.176,2.181,2.05,0.106
4-Dec-11,2.163,2.322,2.376,2.089,0.132
27-Nov-11,2.295,2.313,2.433,2.152,0.006
20-Nov-11,2.301,2.289,2.334,2.104,-0.048
13-Nov-11,2.253,2.309,2.325,2.101,0.035
6-Nov-11,2.288,2.328,2.342,2.116,0.028
30-Oct-11,2.316,2.636,2.648,2.135,0.311
23-Oct-11,2.627,2.522,2.704,2.406,-0.086
16-Oct-11,2.541,2.616,2.645,2.405,0.067
9-Oct-11,2.608,2.463,2.668,2.418,-0.144
2-Oct-11,2.464,2.376,2.553,2.193,-0.044
25-Sep-11,2.42,2.36,2.572,2.345,-0.049
18-Sep-11,2.371,2.438,2.455,2.286,0.114
11-Sep-11,2.485,2.229,2.59,2.124,-0.218
4-Sep-11,2.267,2.416,2.428,2.265,0.179
28-Aug-11,2.446,2.554,2.635,2.431,0.054
21-Aug-11,2.5,2.368,2.554,2.36,-0.119
14-Aug-11,2.381,2.545,2.579,2.238,0.158
7-Aug-11,2.539,2.77,2.775,2.46,0.173
31-Jul-11,2.712,2.9,2.91,2.601,0.154
24-Jul-11,2.866,3.087,3.106,2.856,0.246
17-Jul-11,3.112,3.039,3.232,3.005,-0.033
10-Jul-11,3.079,3.187,3.196,2.928,0.108
3-Jul-11,3.187,3.364,3.384,3.179,0.22
26-Jun-11,3.407,3.142,3.421,3.117,-0.274
19-Jun-11,3.133,3.177,3.245,3.13,0.066
12-Jun-11,3.199,3.228,3.328,3.169,0.025
5-Jun-11,3.224,3.256,3.366,3.217,0.06
29-May-11,3.284,3.301,3.329,3.218,0.007
22-May-11,3.291,3.304,3.366,3.283,0.059
15-May-11,3.35,3.355,3.453,3.341,0.018
8-May-11,3.368,3.383,3.467,3.345,0.016
1-May-11,3.384,3.464,3.473,3.362,0.1
24-Apr-11,3.484,3.518,3.572,3.468,0.05
17-Apr-11,3.534,3.588,3.624,3.526,0.07
10-Apr-11,3.604,3.824,3.849,3.595,0.212
3-Apr-11,3.816,3.728,3.84,3.716,-0.082
27-Mar-11,3.734,3.625,3.773,3.585,-0.131
20-Mar-11,3.603,3.544,3.644,3.522,-0.089
