Date,Close,Open,High,Low,delta
26-Jun-16,1.2917,1.2976,1.3121,1.2859,0.009
19-Jun-16,1.3006,1.2887,1.3102,1.2674,-0.011
12-Jun-16,1.2895,1.2777,1.3088,1.2747,-0.011
5-Jun-16,1.2785,1.2936,1.2984,1.2651,0.015
29-May-16,1.2934,1.3014,1.3145,1.2911,0.008
22-May-16,1.3019,1.3111,1.319,1.2907,0.009
15-May-16,1.3113,1.2923,1.3163,1.2834,-0.017
8-May-16,1.2941,1.2907,1.3015,1.2768,-0.003
1-May-16,1.2909,1.2548,1.2953,1.2458,-0.036
24-Apr-16,1.2553,1.2673,1.2718,1.2495,0.012
17-Apr-16,1.267,1.2938,1.2992,1.259,0.015
10-Apr-16,1.2822,1.2983,1.3017,1.2744,0.017
3-Apr-16,1.2988,1.301,1.3219,1.2948,0.002
27-Mar-16,1.3012,1.3269,1.3287,1.2853,0.026
20-Mar-16,1.3275,1.3001,1.3298,1.2992,-0.027
13-Mar-16,1.3001,1.3209,1.3406,1.2919,0.021
6-Mar-16,1.321,1.3313,1.3447,1.3164,0.011
28-Feb-16,1.3315,1.3509,1.3589,1.3309,0.020
21-Feb-16,1.3513,1.3763,1.3861,1.3501,0.025
14-Feb-16,1.3766,1.385,1.3912,1.3649,0.008
7-Feb-16,1.3847,1.3908,1.4017,1.3783,0.007
31-Jan-16,1.3915,1.3971,1.4103,1.3635,0.006
24-Jan-16,1.3973,1.4116,1.4327,1.3946,0.014
17-Jan-16,1.4117,1.4541,1.4691,1.4111,0.042
10-Jan-16,1.454,1.4167,1.4554,1.4062,-0.037
3-Jan-16,1.417,1.3836,1.418,1.3812,-0.032
27-Dec-15,1.3849,1.3814,1.3941,1.3812,-0.003
20-Dec-15,1.3822,1.3935,1.3996,1.3793,0.013
13-Dec-15,1.3955,1.3747,1.4001,1.3669,-0.020
6-Dec-15,1.3756,1.3365,1.3759,1.3362,-0.039
29-Nov-15,1.3362,1.3365,1.3417,1.3289,0.001
22-Nov-15,1.3372,1.3335,1.3437,1.3276,-0.003
